iter	Passed	Remaining
0	342	273736
1	649	258953
2	943	250635
3	1239	246575
4	1533	243820
5	1829	242062
6	2122	240402
7	2415	239170
8	2713	238491
9	3020	238647
10	3315	237844
11	3613	237280
12	3909	236668
13	4204	236053
14	4499	235486
15	4797	235063
16	5096	234758
17	5398	234556
18	5695	234118
19	6003	234128
20	6299	233688
21	6597	233315
22	6893	232866
23	7202	232874
24	7499	232469
25	7792	231964
26	8080	231354
27	8370	230777
28	8660	230239
29	8953	229796
30	9246	229371
31	9542	229022
32	9839	228698
33	10137	228391
34	10431	227994
35	10722	227548
36	11012	227095
37	11305	226712
38	11597	226308
39	11891	225938
40	12188	225643
41	12486	225343
42	12775	224907
43	13071	224585
44	13359	224147
45	13650	223745
46	13940	223337
47	14230	222944
48	14525	222632
49	14822	222342
50	15112	221940
51	15413	221713
52	15705	221356
53	15992	220940
54	16282	220553
55	16573	220195
56	16866	219862
57	17162	219559
58	17453	219209
59	17744	218848
60	18034	218479
61	18323	218106
62	18612	217735
63	18902	217377
64	19194	217043
65	19488	216739
66	19780	216400
67	20071	216067
68	20361	215718
69	20653	215387
70	20945	215062
71	21271	215073
72	21563	214750
73	21857	214439
74	22147	214097
75	22436	213735
76	22727	213406
77	23022	213110
78	23313	212772
79	23602	212422
80	23898	212133
81	24192	211832
82	24483	211499
83	24776	211191
84	25083	210995
85	25385	210762
86	25690	210546
87	25985	210243
88	26295	210065
89	26601	209854
90	26904	209620
91	27205	209364
92	27499	209054
93	27791	208733
94	28080	208390
95	28369	208046
96	28674	207814
97	28966	207495
98	29256	207160
99	29545	206818
100	29840	206520
101	30129	206178
102	30421	205859
103	30712	205535
104	31006	205231
105	31301	204937
106	31593	204618
107	31883	204290
108	32172	203955
109	32467	203660
110	32778	203460
111	33081	203217
112	33398	203052
113	33710	202853
114	34016	202621
115	34307	202295
116	34600	201982
117	34889	201651
118	35216	201530
119	35505	201200
120	35803	200913
121	36104	200646
122	36393	200313
123	36684	199988
124	36974	199659
125	37264	199335
126	37554	199010
127	37844	198681
128	38145	198417
129	38440	198115
130	38730	197791
131	39023	197480
132	39312	197153
133	39601	196826
134	39890	196496
135	40177	196161
136	40470	195851
137	40766	195561
138	41054	195229
139	41342	194900
140	41630	194570
141	41923	194267
142	42217	193963
143	42506	193641
144	42799	193337
145	43091	193025
146	43413	192849
147	43709	192559
148	43999	192238
149	44315	192031
150	44604	191712
151	44897	191406
152	45192	191106
153	45490	190824
154	45780	190507
155	46071	190192
156	46361	189875
157	46650	189554
158	46969	189355
159	47260	189042
160	47552	188734
161	47850	188447
162	48144	188148
163	48434	187832
164	48723	187510
165	49012	187194
166	49301	186873
167	49590	186554
168	49884	186253
169	50182	185969
170	50473	185658
171	50772	185380
172	51061	185060
173	51354	184759
174	51644	184445
175	51932	184125
176	52226	183824
177	52528	183553
178	52817	183238
179	53106	182921
180	53394	182603
181	53683	182289
182	53974	181979
183	54262	181662
184	54553	181354
185	54848	181057
186	55137	180744
187	55427	180434
188	55717	180122
189	56006	179808
190	56295	179497
191	56584	179185
192	56878	178885
193	57173	178594
194	57462	178280
195	57750	177966
196	58038	177651
197	58328	177341
198	58616	177027
199	58907	176721
200	59199	176420
201	59494	176127
202	59793	175844
203	60082	175536
204	60371	175223
205	60661	174917
206	60948	174602
207	61238	174292
208	61528	173987
209	61824	173697
210	62112	173385
211	62403	173080
212	62692	172772
213	62984	172472
214	63275	172167
215	63578	171896
216	63870	171598
217	64166	171307
218	64455	170998
219	64744	170690
220	65034	170383
221	65322	170074
222	65614	169774
223	65907	169476
224	66196	169170
225	66493	168882
226	66784	168579
227	67075	168277
228	67364	167970
229	67654	167664
230	67952	167381
231	68245	167082
232	68535	166779
233	68835	166499
234	69124	166191
235	69412	165885
236	69701	165577
237	69989	165269
238	70278	164963
239	70568	164658
240	70862	164365
241	71190	164150
242	71480	163846
243	71773	163549
244	72063	163245
245	72354	162944
246	72643	162639
247	72931	162331
248	73225	162036
249	73519	161743
250	73808	161437
251	74097	161132
252	74386	160827
253	74674	160520
254	74965	160220
255	75254	159914
256	75544	159614
257	75839	159322
258	76128	159018
259	76416	158710
260	76704	158405
261	76992	158099
262	77281	157795
263	77570	157490
264	77863	157195
265	78160	156908
266	78453	156613
267	78744	156313
268	79032	156008
269	79321	155705
270	79613	155407
271	79902	155105
272	80193	154805
273	80489	154516
274	80783	154223
275	81072	153919
276	81368	153629
277	81656	153326
278	81944	153022
279	82232	152717
280	82523	152418
281	82818	152127
282	83106	151823
283	83395	151521
284	83685	151221
285	83976	150922
286	84266	150622
287	84555	150320
288	84846	150022
289	85142	149733
290	85431	149431
291	85722	149134
292	86010	148830
293	86298	148527
294	86590	148231
295	86882	147935
296	87171	147634
297	87467	147345
298	87764	147057
299	88054	146757
300	88344	146457
301	88633	146156
302	88920	145853
303	89209	145551
304	89498	145251
305	89797	144967
306	90087	144667
307	90376	144367
308	90664	144065
309	90953	143765
310	91241	143463
311	91530	143162
312	91820	142864
313	92117	142577
314	92407	142277
315	92698	141980
316	92991	141687
317	93287	141398
318	93577	141099
319	93867	140801
320	94160	140506
321	94453	140213
322	94744	139916
323	95032	139615
324	95320	139314
325	95608	139013
326	95899	138716
327	96192	138423
328	96498	138148
329	96824	137901
330	97112	137600
331	97400	137300
332	97690	137001
333	97980	136703
334	98268	136402
335	98556	136101
336	98852	135812
337	99145	135518
338	99434	135218
339	99723	134920
340	100012	134620
341	100302	134322
342	100588	134020
343	100876	133720
344	101183	133444
345	101480	133156
346	101772	132861
347	102061	132562
348	102357	132273
349	102649	131977
350	102935	131675
351	103224	131376
352	103515	131080
353	103809	130788
354	104096	130487
355	104385	130188
356	104676	129892
357	104982	129614
358	105276	129322
359	105576	129037
360	105891	128771
361	106217	128517
362	106537	128256
363	106836	127968
364	107125	127670
365	107413	127370
366	107702	127071
367	107994	126776
368	108289	126484
369	108581	126189
370	108870	125890
371	109158	125590
372	109446	125290
373	109735	124992
374	110022	124691
375	110310	124392
376	110604	124099
377	110903	123812
378	111195	123517
379	111485	123221
380	111777	122926
381	112066	122627
382	112355	122329
383	112644	122031
384	112937	121737
385	113229	121443
386	113519	121145
387	113813	120853
388	114100	120553
389	114404	120271
390	114692	119972
391	114980	119674
392	115274	119380
393	115566	119086
394	115860	118793
395	116149	118496
396	116438	118197
397	116729	117902
398	117018	117605
399	117308	117308
400	117600	117014
401	117896	116723
402	118183	116423
403	118475	116129
404	118770	115837
405	119065	115546
406	119381	115274
407	119674	114981
408	119972	114692
409	120262	114395
410	120556	114103
411	120845	113806
412	121133	113507
413	121420	113208
414	121708	112910
415	121997	112612
416	122288	112317
417	122586	112028
418	122877	111733
419	123165	111435
420	123452	111136
421	123743	110841
422	124033	110544
423	124321	110247
424	124614	109953
425	124907	109660
426	125196	109363
427	125483	109065
428	125775	108771
429	126067	108476
430	126358	108181
431	126649	107886
432	126942	107593
433	127237	107301
434	127527	107006
435	127816	106709
436	128105	106412
437	128394	106115
438	128682	105818
439	128971	105522
440	129264	105229
441	129565	104942
442	129854	104645
443	130143	104349
444	130432	104052
445	130720	103755
446	131010	103460
447	131298	103163
448	131590	102868
449	131885	102577
450	132174	102281
451	132462	101984
452	132755	101691
453	133050	101399
454	133341	101105
455	133633	100811
456	133929	100520
457	134223	100228
458	134530	99944
459	134833	99659
460	135130	99369
461	135432	99082
462	135730	98793
463	136027	98502
464	136331	98216
465	136637	97933
466	136939	97646
467	137246	97362
468	137539	97069
469	137829	96773
470	138118	96477
471	138406	96180
472	138700	95888
473	138992	95593
474	139282	95298
475	139569	95001
476	139858	94705
477	140148	94409
478	140436	94112
479	140727	93818
480	141021	93525
481	141316	93233
482	141610	92941
483	141899	92645
484	142188	92349
485	142477	92053
486	142770	91760
487	143058	91463
488	143352	91171
489	143645	90877
490	143935	90582
491	144225	90287
492	144541	90008
493	144829	89712
494	145118	89416
495	145406	89120
496	145713	88835
497	146007	88542
498	146298	88248
499	146587	87952
500	146878	87657
501	147166	87361
502	147455	87065
503	147755	86777
504	148049	86484
505	148340	86190
506	148631	85895
507	148920	85600
508	149209	85304
509	149497	85008
510	149795	84718
511	150083	84422
512	150376	84128
513	150670	83836
514	150958	83539
515	151248	83245
516	151536	82949
517	151825	82653
518	152114	82358
519	152402	82062
520	152697	81770
521	152991	81478
522	153292	81189
523	153582	80894
524	153872	80599
525	154170	80309
526	154461	80014
527	154750	79719
528	155038	79424
529	155333	79131
530	155621	78836
531	155912	78542
532	156200	78246
533	156488	77951
534	156776	77655
535	157063	77359
536	157355	77065
537	157650	76773
538	157937	76478
539	158226	76182
540	158513	75887
541	158805	75593
542	159095	75299
543	159385	75004
544	159674	74710
545	159969	74417
546	160260	74124
547	160547	73828
548	160835	73533
549	161124	73238
550	161411	72942
551	161702	72648
552	161993	72355
553	162288	72063
554	162577	71768
555	162869	71474
556	163157	71180
557	163446	70885
558	163733	70589
559	164022	70295
560	164310	70000
561	164605	69708
562	164898	69415
563	165189	69121
564	165479	68827
565	165768	68533
566	166056	68238
567	166345	67943
568	166635	67649
569	166931	67358
570	167220	67063
571	167509	66769
572	167801	66476
573	168090	66181
574	168378	65887
575	168666	65592
576	168955	65298
577	169249	65006
578	169539	64711
579	169827	64417
580	170133	64129
581	170433	63839
582	170727	63546
583	171015	63252
584	171307	62959
585	171600	62666
586	171889	62372
587	172177	62077
588	172464	61782
589	172754	61489
590	173042	61194
591	173330	60899
592	173621	60606
593	173920	60315
594	174208	60021
595	174498	59727
596	174786	59433
597	175076	59139
598	175365	58845
599	175653	58551
600	175946	58258
601	176239	57965
602	176528	57671
603	176821	57379
604	177110	57085
605	177398	56790
606	177686	56496
607	177974	56202
608	178265	55909
609	178560	55617
610	178848	55322
611	179135	55028
612	179431	54736
613	179721	54443
614	180010	54149
615	180298	53855
616	180588	53562
617	180890	53271
618	181179	52978
619	181467	52684
620	181755	52389
621	182044	52096
622	182331	51802
623	182618	51507
624	182911	51215
625	183210	50924
626	183499	50630
627	183786	50336
628	184074	50042
629	184362	49748
630	184650	49454
631	184941	49161
632	185233	48868
633	185527	48576
634	185835	48288
635	186123	47994
636	186412	47700
637	186700	47406
638	186988	47112
639	187275	46818
640	187565	46525
641	187870	46235
642	188161	45942
643	188454	45650
644	188744	45357
645	189033	45063
646	189326	44771
647	189616	44477
648	189909	44185
649	190202	43892
650	190492	43599
651	190780	43306
652	191069	43012
653	191359	42719
654	191651	42426
655	191940	42133
656	192230	41840
657	192525	41548
658	192814	41254
659	193107	40962
660	193395	40668
661	193682	40374
662	193972	40081
663	194260	39788
664	194583	39501
665	194882	39210
666	195172	38917
667	195462	38624
668	195752	38331
669	196040	38037
670	196329	37744
671	196617	37450
672	196916	37159
673	197213	36867
674	197503	36574
675	197794	36281
676	198083	35988
677	198372	35695
678	198674	35404
679	198966	35111
680	199258	34819
681	199554	34526
682	199843	34233
683	200131	33940
684	200419	33647
685	200710	33354
686	201008	33062
687	201299	32769
688	201593	32477
689	201889	32185
690	202177	31892
691	202466	31598
692	202754	31305
693	203043	31012
694	203331	30719
695	203618	30425
696	203913	30133
697	204208	29841
698	204500	29548
699	204789	29255
700	205076	28962
701	205365	28669
702	205655	28376
703	205944	28083
704	206238	27790
705	206530	27498
706	206820	27205
707	207108	26912
708	207402	26620
709	207690	26326
710	207978	26033
711	208267	25740
712	208560	25448
713	208851	25155
714	209138	24862
715	209431	24570
716	209722	24277
717	210011	23984
718	210299	23691
719	210586	23398
720	210878	23106
721	211171	22813
722	211459	22520
723	211748	22227
724	212036	21934
725	212328	21642
726	212617	21349
727	212907	21056
728	213199	20764
729	213494	20472
730	213783	20179
731	214072	19886
732	214360	19593
733	214649	19300
734	214937	19008
735	215226	18715
736	215516	18422
737	215812	18130
738	216100	17837
739	216390	17545
740	216682	17252
741	216971	16960
742	217261	16667
743	217550	16374
744	217841	16082
745	218136	15790
746	218423	15497
747	218715	15204
748	219005	14912
749	219294	14619
750	219583	14326
751	219871	14034
752	220170	13742
753	220484	13451
754	220773	13158
755	221061	12866
756	221352	12573
757	221640	12280
758	221931	11988
759	222230	11696
760	222521	11403
761	222818	11111
762	223108	10819
763	223401	10526
764	223693	10234
765	223980	9941
766	224269	9649
767	224557	9356
768	224865	9064
769	225161	8772
770	225450	8479
771	225739	8187
772	226028	7894
773	226317	7602
774	226612	7310
775	226900	7017
776	227190	6725
777	227486	6432
778	227782	6140
779	228071	5847
780	228360	5555
781	228650	5263
782	228944	4970
783	229232	4678
784	229524	4385
785	229834	4093
786	230122	3801
787	230412	3508
788	230703	3216
789	230991	2923
790	231278	2631
791	231567	2339
792	231858	2046
793	232150	1754
794	232438	1461
795	232728	1169
796	233031	877
797	233318	584
798	233606	292
799	233898	0
