iter	Logloss
0	0.6351861064
1	0.558476562522	0.499717559833	0.456105346744	0.409729690655	0.371181233766	0.34098607387	0.3077222188
8	0.2854267883
9	0.2616684469
10	0.2391764069
11	0.2193639119
12	0.2001723353
13	0.1860947927
14	0.1748017502
15	0.1625323359
16	0.1530578359
17	0.1434552002
18	0.1341193899
19	0.1263971965
20	0.1209899648
21	0.1153271484
22	0.1104664866
23	0.1058382416
24	0.1006390889
25	0.09698403676
26	0.09270697276
27	0.08777478536
28	0.08393066406
29	0.08362360636
30	0.08080516179
31	0.07751000722
32	0.07723402659
33	0.07378668467
34	0.07345209757
35	0.07318425496
36	0.0729393514
37	0.07264346441
38	0.07239810944
39	0.07214923223
40	0.07191708883
41	0.07168820699
42	0.07141619364
43	0.07120390574
44	0.0686885198
45	0.06845066071
46	0.06826851527
47	0.0680720075
48	0.06788050969
49	0.06772232691
50	0.06751413981
51	0.06463605245
52	0.06445561727
53	0.06241737366
54	0.06227989197
55	0.06207159042
56	0.06188055674
57	0.06171765645
085358
59	0.0615175883
60	0.06134154002
61	0.05879213969
62	0.05853822708
63	0.05696564356
64	0.05677362442
65	0.05546984355
