Model,Pred_s,Precision,Recall,F1,FPR,FNR
RandomForest-SQL,0.19167390000075102,0.9991083370485956,0.9885310983678871,0.9937915742793791,0.0005125576627370579,0.011468901632112925
MLP-SQL,0.08696669999335427,0.999553770638108,0.9880899867666519,0.9937888198757764,0.00025627883136852895,0.011910013233348038
XGBoost-SQL,0.023167599996668287,0.9232643118148599,0.6687251874724305,0.7756459452545408,0.03229113275243465,0.33127481252756946
CatBoost-SQL,0.18062559999816585,0.9991075412762159,0.9876488751654169,0.9933451641526175,0.0005125576627370579,0.012351124834583149
TabPFN-SQL,1308.6250393999944,0.9986619090098127,0.9876488751654169,0.9931248613883344,0.0007688364941055869,0.012351124834583149
RandomForest-XSS,0.09839299999293871,1.0,0.9966101694915255,0.99830220713073,0.0,0.003389830508474576
MLP-XSS,0.056769200004055165,1.0,0.9993220338983051,0.9996609020006781,0.0,0.0006779661016949153
XGBoost-XSS,0.030177199994795956,0.9950354609929078,0.9511864406779661,0.9726169844020798,0.0055423594615993665,0.0488135593220339
CatBoost-XSS,0.1387140000006184,1.0,0.9952542372881356,0.9976214746856948,0.0,0.0047457627118644066
TabPFN-XSS,586.4186313999962,0.9979605710401088,0.9952542372881356,0.9966055668703326,0.0023752969121140144,0.0047457627118644066
